MÊS,Grupo Estrutural,Grupo Local de Articulação Regional,Total,particao,Período,MÊS_abrev
Jan/2024,52192455,105735318,157927773,2024,Janeiro,Jan
Fev/2024,55127009,112459029,167586038,2024,Fevereiro,Fev
Mar/2024,59960019,122934281,182894300,2024,Março,Mar
Abr/2024,62076320,126957579,189033899,2024,Abril,Abr
Mai/2024,60742151,124806116,185548267,2024,Maio,Mai
Jun/2024,59334975,122106752,181441727,2024,Junho,Jun
Jul/2024,57851224,116699854,174551078,2024,Julho,Jul
Ago/2024,63180602,129337500,192518102,2024,Agosto,Ago
Set/2024,60958004,125572354,186530358,2024,Setembro,Set
Out/2024,63947289,130959003,194906292,2024,Outubro,Out
Nov/2024,0,0,0,2024,Novembro,Nov
Dez/2024,0,0,0,2024,Dezembro,Dez
nan/2024,595370048,1217567786,1812937834,2024,,
Jan/2023,49791232,0,150555599,2023,Janeiro,Jan
Fev/2023,50497376,0,154231011,2023,Fevereiro,Fev
Mar/2023,62711788,0,191070317,2023,Março,Mar
Abr/2023,54539890,0,167572436,2023,Abril,Abr
Mai/2023,61055326,0,187497984,2023,Maio,Mai
Jun/2023,57170950,0,175955636,2023,Junho,Jun
Jul/2023,55338684,0,168435183,2023,Julho,Jul
Ago/2023,62363976,0,191273935,2023,Agosto,Ago
Set/2023,57271495,0,176996200,2023,Setembro,Set
Out/2023,58395960,0,179184034,2023,Outubro,Out
Nov/2023,54612851,0,169267045,2023,Novembro,Nov
Dez/2023,54588560,0,169344196,2023,Dezembro,Dez
nan/2023,678338088,0,2081383576,2023,,
Jan/2021,45518636,0,138276515,2021,Janeiro,Jan
Fev/2021,50430120,0,154440219,2021,Fevereiro,Fev
Mar/2021,59236058,0,181694310,2021,Março,Mar
Abr/2021,55355009,0,169638214,2021,Abril,Abr
Mai/2021,60943428,0,186161754,2021,Maio,Mai
Jun/2021,52853470,0,168232015,2021,Junho,Jun
Jul/2021,55437211,0,168695732,2021,Julho,Jul
Ago/2021,61576654,0,188303094,2021,Agosto,Ago
Set/2021,57355123,0,176338896,2021,Setembro,Set
Out/2021,57748337,0,177709870,2021,Outubro,Out
Nov/2021,56684185,0,174254815,2021,Novembro,Nov
Dez/2021,53950426,0,166458086,2021,Dezembro,Dez
nan/2021,667088657,0,2050203520,2021,,
Jan/2019,40980365,0,125023935,2019,Janeiro,Jan
Fev/2019,42589621,0,129108756,2019,Fevereiro,Fev
Mar/2019,38581298,0,118392412,2019,Março,Mar
Abr/2019,36490915,0,112113967,2019,Abril,Abr
Mai/2019,43949687,0,133750783,2019,Maio,Mai
Jun/2019,44778571,0,136666103,2019,Junho,Jun
Jul/2019,45962669,0,139346476,2019,Julho,Jul
Ago/2019,49478332,0,150130694,2019,Agosto,Ago
Set/2019,49891005,0,151420064,2019,Setembro,Set
Out/2019,50997330,0,155172834,2019,Outubro,Out
Nov/2019,53212385,0,162503103,2019,Novembro,Nov
Dez/2019,52334027,0,160898386,2019,Dezembro,Dez
nan/2019,549246205,0,1674527513,2019,,
Jan/2017,64553348,0,194091235,2017,Janeiro,Jan
Fev/2017,63397860,0,193824524,2017,Fevereiro,Fev
Mar/2017,52389756,0,161376052,2017,Março,Mar
Abr/2017,21582298,0,69140944,2017,Abril,Abr
Mai/2017,23841358,0,75262184,2017,Maio,Mai
Jun/2017,30227793,0,93253266,2017,Junho,Jun
Jul/2017,37759597,0,115551446,2017,Julho,Jul
Ago/2017,39776306,0,121130247,2017,Agosto,Ago
Set/2017,41765739,0,127143837,2017,Setembro,Set
Out/2017,44925997,0,136936275,2017,Outubro,Out
Nov/2017,44803454,0,137374492,2017,Novembro,Nov
Dez/2017,44539298,0,138168179,2017,Dezembro,Dez
nan/2017,509562804,0,1563252681,2017,,
Jan/2015,113301725,0,203090244,2015,Jan/19,Jan
Fev/2015,120483106,0,214135442,2015,Fev/19,Fev
Mar/2015,121979791,0,219257012,2015,Mar/19,Mar
Abr/2015,127638572,0,227678340,2015,Abr/19,Abr
Mai/2015,132440405,0,236277895,2015,Mai/19,Mai
Jun/2015,117500468,0,210588554,2015,Jun/19,Jun
Jul/2015,118648945,0,211994268,2015,Jul/19,Jul
Ago/2015,132205772,0,235025134,2015,Ago/19,Ago
Set/2015,27795218,0,221044723,2015,Set/19¹,Set
Out/2015,0,0,239172615,2015,Out/19,Out
Nov/2015,0,0,217271916,2015,Nov/19,Nov
Dez/2015,0,0,202654621,2015,Dez/19,Dez
Tot/2015,1011994002,0,2638190764,2015,Total,Tot
Jan/2013,118664245,89792896,208457141,2013,Jan/18,Jan
Fev/2013,120663125,91821122,212484247,2013,Fev/18,Fev
Mar/2013,141703954,107939469,249643423,2013,Mar/18,Mar
Abr/2013,137636679,105012776,242649455,2013,Abr/18,Abr
Mai/2013,138317851,107204123,245521974,2013,Mai/2018,Mai
Jun/2013,132241184,102396034,234637218,2013,Jun/2018,Jun
Jul/2013,124252817,96827351,221080168,2013,Jul/2018,Jul
Ago/2013,145135978,110269839,255405817,2013,Ago/2018,Ago
Set/2013,131761265,102127695,233888960,2013,Set/2018,Set
Out/2013,141606686,109576363,251183049,2013,Out/2018,Out
Nov/2013,126716939,100184225,226901164,2013,Nov/2018,Nov
Dez/2013,119386574,97676432,217063006,2013,Dez/2018,Dez
Tot/2013,1578087297,1220828325,2798915622,2013,Total,Tot
Jan/2011,119892988,90557623,210450611,2011,Jan-17,Jan
Fev/2011,125864578,94192063,220056641,2011,Fev-17,Fev
Mar/2011,149461442,111722315,261183757,2011,Mar-17,Mar
Abr/2011,127568475,99317058,226885533,2011,Abr-17,Abr
Mai/2011,149313804,111225631,260539435,2011,Mai-17,Mai
Jun/2011,137911149,103952411,241863560,2011,Jun-17,Jun
Jul/2011,130221172,99153304,229374476,2011,Jul-17,Jul
Ago/2011,148253078,109470393,257723471,2011,Ago-17,Ago
Set/2011,138383993,104703719,243087712,2011,Set-17,Set
